Dakar;148266;151331;299596;50.50;20.50
Diourbel;81099;82403;163502;50.40;11.20
Fatick;43700;41709;85408;48.80;5.90
Kaffrine;32691;32780;65471;50.10;4.50
Kaolack;56962;54383;111345;48.80;7.60
Kédougou;8276;7787;16063;48.50;1.10
Kolda;40377;37444;77821;48.10;5.30
Louga;49532;45985;95517;48.10;6.50
Matam;34362;32393;66755;48.50;4.60
Saint-Louis;51356;48060;99416;48.30;6.80
Sédhiou;28052;25216;53268;47.30;3.70
Tambacounda;40370;37389;77759;48.10;5.30
Thiès;98627;91670;190297;48.20;13.00
Ziguinchor;29605;26725;56330;47.40;3.90
Sénégal;743275;715275;1458550;49.00;100.00
Moyenne;53091;51091;104182;48.70;7.10
Minimum;8276;7787;16063;47.30;1.10
Maximum;148266;151331;299596;50.50;20.50
