Dakar;59.10;69.00;64.10;1.17
Diourbel;23.40;27.80;25.60;1.19
Fatick;56.10;65.70;60.80;1.17
Kaffrine;20.30;22.30;21.30;1.1
Kaolack;45.80;52.20;48.90;1.14
Kédougou;56.60;45.00;51.00;0.79
Kolda;41.60;37.90;39.80;0.91
Louga;30.80;39.10;34.80;1.27
Matam;27.60;42.80;35.00;1.55
Saint-Louis;42.60;57.20;49.70;1.34
Sédhiou;55.40;48.40;52.10;0.87
Tambacounda;30.20;31.30;30.70;1.04
Thiès;56.60;70.70;63.40;1.25
Ziguinchor;87.10;93.10;90.00;1.07
Sénégal;45.90;53.30;49.50;1.16
Minimum;20.30;22.30;21.30;1.1
Maximum;87.10;93.10;90.00;1.07
