Region;garcon;fille;Total;annee;commentaire;niveau_etude
Dakar;228906;229949;458855;2018;;2
Diourbel;150296;142992;293287;2018;;2
Fatick;7889;73683;151772;2018;;2
Kaffrine;62458;59832;122290;2018;;2
Kaolack;101503;93922;195425;2018;;2
Kedougou;15171;14536;29707;2018;;2
Kolda;7095;66164;136259;2018;;2
Louga;73558;78203;151761;2018;;2
Matam;62403;59127;121530;2018;;2
Saint-Louis;85230;79985;165215;2018;;2
Sedhiou;49195;45794;94989;2018;;2
Tambacounda;73315;69235;142550;2018;;2
Thies;163846;154331;318177;2018;;2
Ziguinchor;50758;47609;98368;2018;;2
Senegal;1264823;1215362;2480184;2018;;2
Dakar;148266;151331;299596;2018;;3
Diourbel;81099;82403;163502;2018;;3
Fatick;43700;41709;85408;2018;;3
Kaffrine;32691;32780;65471;2018;;3
Kaolack;56962;54383;111345;2018;;3
Kedougou;8276;7787;16063;2018;;3
Kolda;40377;37444;77821;2018;;3
Louga;49532;45985;95517;2018;;3
Matam;34362;32393;66755;2018;;3
Saint-Louis;51356;48060;99416;2018;;3
Sedhiou;28052;25216;53268;2018;;3
Tambacounda;40370;37389;77759;2018;;3
Thies;98627;91670;190297;2018;;3
Ziguinchor;29605;26725;56330;2018;;3
Senegal;743275;715275;1458550;2018;;3
Dakar;108921;112465;221386;2018;;4
Diourbel;52482;55823;108306;2018;;4
Fatick;28386;27389;55775;2018;;4
Kaffrine;20713;21439;42151;2018;;4
Kaolack;37100;36466;73566;2018;;4
Kedougou;5473;5084;10557;2018;;4
Kolda;26833;24911;51744;2018;;4
Louga;37903;31594;69496;2018;;4
Matam;22552;21186;43738;2018;;4
Saint-Louis;35341;33245;68586;2018;;4
Sedhiou;18665;16550;35215;2018;;4
Tambacounda;26496;24455;50951;2018;;4
Thies;68146;63425;131571;2018;;4
Ziguinchor;20810;18337;39146;2018;;4
Senegal;509822;492368;1002190;2018;;4
