Dakar;108921;112465;221386;50.80;22.10
Diourbel;52482;55823;108306;51.50;10.80
Fatick;28386;27389;55775;49.10;5.60
Kaffrine;20713;21439;42151;50.90;4.20
Kaolack;37100;36466;73566;49.60;7.30
Kedougou;5473;5084;10557;48.20;1.10
Kolda;26833;24911;51744;48.10;5.20
Louga;37903;31594;69496;45.50;6.90
Matam;22552;21186;43738;48.40;4.40
Saint-Louis;35341;33245;68586;48.50;6.80
Sedhiou;18665;16550;35215;47.00;3.50
Tambacounda;26496;24455;50951;48.00;5.10
Thies;68146;63425;131571;48.20;13.10
Ziguinchor;20810;18337;39146;46.80;3.90
Senegal;509822;492368;1002190;49.10;100.00
